LINE	PW_WenJ15
yangzhou_199_196	4.03
yangzhou_199_197	2.88
yangzhou_199_198	2.77
yangzhou_199_199	2.73
yangzhou_199_2	3.55
yangzhou_199_20	3.04
yangzhou_199_21	4.16
yangzhou_199_22	3.13
yangzhou_199_23	2.65594463781609
yangzhou_199_24	4.19
yangzhou_199_25	2.46
yangzhou_199_26	3.84
yangzhou_199_27	3.38
yangzhou_199_28	2.05
yangzhou_199_29	3.46
yangzhou_199_3	3.11
yangzhou_199_30	4.52
yangzhou_199_31	2.21
yangzhou_199_32	3.62
yangzhou_199_33	2.3
yangzhou_199_34	2.46
yangzhou_199_35	3.64
yangzhou_199_36	3.05
yangzhou_199_37	2.93
yangzhou_199_38	2.26
yangzhou_199_39	2.26
yangzhou_199_4	3.97
yangzhou_199_40	3.24
yangzhou_199_41	3.03
yangzhou_199_42	4.38
yangzhou_199_43	3.36
yangzhou_199_44	3.44
yangzhou_199_45	3.08
yangzhou_199_46	3.15
yangzhou_199_47	3.67
yangzhou_199_48	2.52
yangzhou_199_49	1.89
yangzhou_199_5	2.57
yangzhou_199_50	2.55
yangzhou_199_51	3.7
yangzhou_199_52	2.83
yangzhou_199_53	2.93
yangzhou_199_54	2.09
yangzhou_199_55	3.29
yangzhou_199_56	2.77
yangzhou_199_57	3.23
yangzhou_199_58	2.99
yangzhou_199_59	2.87
yangzhou_199_6	3.26
yangzhou_199_60	2.26
yangzhou_199_61	2.17
yangzhou_199_62	3.44
yangzhou_199_63	2.64
yangzhou_199_64	3.23
yangzhou_199_65	2.41
yangzhou_199_66	2.98
yangzhou_199_67	2.46
yangzhou_199_68	2.36
yangzhou_199_69	3.26
yangzhou_199_7	3.65
yangzhou_199_70	1.57
yangzhou_199_71	1.93
yangzhou_199_72	3.04
yangzhou_199_73	3.51
yangzhou_199_74	1.92
yangzhou_199_75	2.88
yangzhou_199_76	2.06
yangzhou_199_77	2.82
yangzhou_199_78	3.2
yangzhou_199_79	3.31
yangzhou_199_8	2.46
yangzhou_199_80	3.58
yangzhou_199_81	2.89
yangzhou_199_82	4.01
yangzhou_199_83	2.41
yangzhou_199_84	2.47
yangzhou_199_85	3.74
yangzhou_199_86	3.13
yangzhou_199_87	3.32
yangzhou_199_88	2.33
yangzhou_199_89	1.79
yangzhou_199_9	4.13
yangzhou_199_90	2.41
yangzhou_199_91	1.99
yangzhou_199_92	2.68
yangzhou_199_93	3.27
yangzhou_199_94	2.86
yangzhou_199_95	2.04
yangzhou_199_96	2.67
yangzhou_199_97	3.16
yangzhou_199_98	3.17
yangzhou_199_99	3.18
yangzhou_226_1	3.24
yangzhou_226_10	3.22
yangzhou_226_100	2.98
yangzhou_226_101	2.57
yangzhou_226_102	2.88
yangzhou_226_103	4.29
yangzhou_226_104	2.38
yangzhou_226_105	3.85
yangzhou_226_106	4.02
yangzhou_226_107	0.82
yangzhou_226_108	4.56
yangzhou_226_109	3.52
yangzhou_226_11	3.07
yangzhou_226_110	5.02
yangzhou_226_111	5.86
yangzhou_226_112	3.02
yangzhou_226_113	4.17
yangzhou_226_114	3.82
yangzhou_226_115	1.79
yangzhou_226_116	2.87
yangzhou_226_117	4.6
yangzhou_226_118	2.49
yangzhou_226_119	2.83
yangzhou_226_12	2.25
yangzhou_226_120	2.85
yangzhou_226_121	2.48
yangzhou_226_122	4.45
yangzhou_226_123	3.00339881829686
yangzhou_226_124	2.72
yangzhou_226_125	2.76
yangzhou_226_126	4.26
yangzhou_226_127	3.97
yangzhou_226_128	4.07
yangzhou_226_129	4.83
yangzhou_226_13	3.16
yangzhou_226_130	3.83
yangzhou_226_131	4.83
yangzhou_226_132	4.94
yangzhou_226_133	4.71
yangzhou_226_134	2.83
yangzhou_226_135	4.54
yangzhou_226_136	3.56
yangzhou_226_137	3.72
yangzhou_226_138	4.59
yangzhou_226_139	4.57
yangzhou_226_14	2.02
yangzhou_226_140	4.99
yangzhou_226_141	3.79
yangzhou_226_142	4.01
yangzhou_226_143	2.84
yangzhou_226_144	4.15
yangzhou_226_145	5.53
yangzhou_226_146	2.64
yangzhou_226_147	5.27
yangzhou_226_148	4.06
yangzhou_226_149	2.54
yangzhou_226_15	4.32
yangzhou_226_150	3.9
yangzhou_226_151	3.61
yangzhou_226_152	4.23
yangzhou_226_153	3.2
yangzhou_226_154	3.72
yangzhou_226_155	3.23
yangzhou_226_156	2.66
yangzhou_226_157	2.79
yangzhou_226_158	3.38
yangzhou_226_159	3.82
yangzhou_226_16	1.91
yangzhou_226_160	3.09
yangzhou_226_161	3.43699802769812
yangzhou_226_162	3.09
yangzhou_226_163	4.52
yangzhou_226_164	2.51
yangzhou_226_165	3.14
yangzhou_226_166	3.72
yangzhou_226_167	3.83
yangzhou_226_168	3.7
yangzhou_226_169	2.78
yangzhou_226_17	3.56
yangzhou_226_170	3.69
yangzhou_226_171	3.87
yangzhou_226_172	4.38
yangzhou_226_173	2.73
yangzhou_226_174	3.18
yangzhou_226_175	3.99
yangzhou_226_176	5.02
yangzhou_226_177	4.05
yangzhou_226_178	3.44
yangzhou_226_179	3.28
yangzhou_226_18	3.34
yangzhou_226_180	3.7
yangzhou_226_182	3.71
yangzhou_226_183	3.59
yangzhou_226_184	2.59
yangzhou_226_185	4.09
yangzhou_226_186	3.68
yangzhou_226_187	3.81
yangzhou_226_188	4.01
yangzhou_226_189	3.49
yangzhou_226_19	2.75
yangzhou_226_190	3.19
yangzhou_226_191	3.32
yangzhou_226_192	4.12
yangzhou_226_193	2.36
yangzhou_226_194	1.55
yangzhou_226_195	3.2
yangzhou_226_196	6.03
yangzhou_226_197	7.23
yangzhou_226_198	3.99
yangzhou_226_199	3.66
yangzhou_226_2	2.98
yangzhou_226_20	5.19
yangzhou_226_200	2.03
yangzhou_226_201	2.25
yangzhou_226_202	3.95
yangzhou_226_203	3.96
yangzhou_226_204	2.3
yangzhou_226_205	2.89
yangzhou_226_206	3.19
yangzhou_226_207	3.01
yangzhou_226_208	4.03
yangzhou_226_209	2.11
yangzhou_226_21	2.87
yangzhou_226_210	2.17
yangzhou_226_211	1.78
yangzhou_226_212	1.49
yangzhou_226_213	2.46
yangzhou_226_214	2.48
yangzhou_226_215	2.1
yangzhou_226_216	2.08
yangzhou_226_217	4.39
yangzhou_226_218	2.3
yangzhou_226_219	3.04
yangzhou_226_22	2.74
yangzhou_226_220	2.45
yangzhou_226_221	2.51
yangzhou_226_222	2.22
yangzhou_226_223	3.62
yangzhou_226_224	3.92
yangzhou_226_225	3.06
yangzhou_226_226	3.0
yangzhou_226_23	3.66
yangzhou_226_24	2.61
yangzhou_226_25	3.85
yangzhou_226_26	3.31
yangzhou_226_27	2.16
yangzhou_226_28	3.3
yangzhou_226_29	3.73
yangzhou_226_3	3.28
yangzhou_226_30	2.28
yangzhou_226_31	3.08
yangzhou_226_32	2.24
yangzhou_226_33	2.93
yangzhou_226_34	2.84
yangzhou_226_35	3.09
yangzhou_226_36	3.65
yangzhou_226_37	0.41
yangzhou_226_38	0.25
yangzhou_226_39	2.91642298777897
yangzhou_226_4	2.54
yangzhou_226_40	3.53
yangzhou_226_41	0.79
yangzhou_226_42	0.18
yangzhou_226_43	2.5
yangzhou_226_44	3.29734201146817
yangzhou_226_45	1.0
yangzhou_226_46	1.68
yangzhou_226_47	3.75280301278581
yangzhou_226_48	0.2
yangzhou_226_49	0.19
yangzhou_226_5	2.94
yangzhou_226_50	0.14
yangzhou_226_51	4.41328297027341
yangzhou_226_53	2.55125390127055
yangzhou_226_54	4.54
yangzhou_226_55	3.03
yangzhou_226_56	3.54
yangzhou_226_57	2.85
yangzhou_226_58	3.08
yangzhou_226_59	1.81
yangzhou_226_6	3.04
yangzhou_226_60	3.5
yangzhou_226_61	3.13
yangzhou_226_62	2.7
yangzhou_226_63	3.82
yangzhou_226_64	3.22
yangzhou_226_65	3.11
yangzhou_226_66	3.15
yangzhou_226_67	6.67
yangzhou_226_68	2.62
yangzhou_226_69	3.6
yangzhou_226_7	3.41
yangzhou_226_70	3.22
yangzhou_226_71	3.48
yangzhou_226_72	4.08
yangzhou_226_73	5.21
yangzhou_226_74	2.43
yangzhou_226_75	4.27
yangzhou_226_76	3.3
yangzhou_226_77	3.43
yangzhou_226_78	2.64
yangzhou_226_79	5.11
yangzhou_226_8	3.08
yangzhou_226_80	2.89
yangzhou_226_81	3.6
yangzhou_226_82	2.73
yangzhou_226_83	3.59070165331779
yangzhou_226_84	2.49
yangzhou_226_85	3.07
yangzhou_226_86	2.92
yangzhou_226_87	3.79
yangzhou_226_88	3.44
yangzhou_226_89	3.14
yangzhou_226_9	2.29
yangzhou_226_90	3.32
yangzhou_226_91	3.63
yangzhou_226_92	3.44
yangzhou_226_93	3.75
yangzhou_226_94	3.66
yangzhou_226_95	3.03
yangzhou_226_96	3.93
yangzhou_226_97	4.36
yangzhou_226_98	4.39
yangzhou_226_99	2.55
YCX333	2.9638019957595
YCX334	3.0582295733154
YCX335	2.64161131259251
YCX336	2.13202969980358
YCX337	2.21412984255028
YCX338	3.57717863126431
YCX339	3.31227101046509
YCX340	3.269190164872
YCX341	2.97730434537643
YCX342	1.4232756848927
YCX343	3.65274078212143
YCX344	4.39340689043128
YCX345	3.40139030618529
YCX346	2.75253358773865
YCX347	2.34235283109965
YCX348	2.52742143621448
YCX349	4.57825508577603
YCX350	2.78259526941375
YCX351	2.433880265076
YCX352	3.41816631084199
YCX353	2.0983882840374
YCX354	2.74521992997432
YCX355	1.53757976377734
YCX356	3.14641338405944
YCX357	3.18663530030952
YCX358	3.29487417816238
YCX359	2.50403106871492
YCX360	2.21038134214205
YCX361	3.62078548065017
YCX362	2.33077709273404
YCX363	3.04266246379142
YCX364	3.24130839528599
YCX365	3.88227695234483
YCX366	3.48096948360785
YCX367	3.02428827356043
YCX368	2.16792568749401
YCX369	3.36675623891333
YCX370	3.43140234035983
YCX371	2.89737410176365
YCX372	3.6482337042397
YCX373	2.84327376078144
YCX374	3.72917635016007
YCX375	3.31017266613635
YCX376	3.01047182849007
YCX377	2.76153445511255
YCX378	2.40599943481338
YCX379	3.21954815895522
YCX380	2.92717218776401
YCX381	3.23795423521034
YCX382	2.11821113848759
YCX383	3.33076904982632
YCX384	1.00442189601435
YCX385	3.40977894655532
YCX386	3.31207716655739
YCX387	3.04447631451723
YCX388	2.39376151901266
YCX389	2.07554440484009
YCX390	3.12409644801871
YCX391	3.63065219520222
YCX392	2.40291004516063
YCX393	2.80131135497409
YD12	2.89
